"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","3271","Проверка на ошибку при загрузке файла","","Fri Jan 10 12:15:32 GMT 2025","broken","Fri Jan 10 12:15:35 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","21832","Проверка на заполнение формы с ошибками","","Fri Jan 10 12:15:34 GMT 2025","passed","Fri Jan 10 12:15:56 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","264","Проверка текста ошибок в заполнении формы","","Fri Jan 10 12:15:35 GMT 2025","broken","Fri Jan 10 12:15:36 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","9299","Проверка на отображение ожидаемых элементов","","Fri Jan 10 12:15:56 GMT 2025","passed","Fri Jan 10 12:16:05 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","351","Проверка корректного заполнения данных формы","","Fri Jan 10 12:15:35 GMT 2025","broken","Fri Jan 10 12:15:35 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","210","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 12:15:36 GMT 2025","broken","Fri Jan 10 12:15:36 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","206","Проверка на правильную роботу фильтра","","Fri Jan 10 12:15:36 GMT 2025","broken","Fri Jan 10 12:15:36 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
