"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","9949","Проверка на отображение ожидаемых элементов","","Fri Jan 10 11:23:57 GMT 2025","passed","Fri Jan 10 11:24:06 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","212","Проверка на правильную роботу фильтра","","Fri Jan 10 11:23:36 GMT 2025","broken","Fri Jan 10 11:23:36 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","213","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 11:23:36 GMT 2025","broken","Fri Jan 10 11:23:36 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","6317","Проверка на ошибку при загрузке файла","","Fri Jan 10 11:23:29 GMT 2025","broken","Fri Jan 10 11:23:35 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","245","Проверка корректного заполнения данных формы","","Fri Jan 10 11:23:35 GMT 2025","broken","Fri Jan 10 11:23:35 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","23788","Проверка на заполнение формы с ошибками","","Fri Jan 10 11:23:33 GMT 2025","passed","Fri Jan 10 11:23:56 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","214","Проверка текста ошибок в заполнении формы","","Fri Jan 10 11:23:35 GMT 2025","broken","Fri Jan 10 11:23:36 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
