"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","30700","Проверка на заполнение формы с ошибками","","Fri Jan 10 10:15:03 GMT 2025","passed","Fri Jan 10 10:15:34 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","7096","Проверка на правильную роботу фильтра","","Fri Jan 10 10:16:22 GMT 2025","failed","Fri Jan 10 10:16:29 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","7605","Проверка текста ошибок в заполнении формы","","Fri Jan 10 10:16:07 GMT 2025","failed","Fri Jan 10 10:16:15 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","13212","Проверка на ошибку при загрузке файла","","Fri Jan 10 10:15:47 GMT 2025","failed","Fri Jan 10 10:16:01 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","6927","Проверка корректного заполнения данных формы","","Fri Jan 10 10:16:01 GMT 2025","failed","Fri Jan 10 10:16:07 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","6880","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 10:16:15 GMT 2025","failed","Fri Jan 10 10:16:22 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","11931","Проверка на отображение ожидаемых элементов","","Fri Jan 10 10:15:34 GMT 2025","passed","Fri Jan 10 10:15:46 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
