"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","34306","Проверка на ошибку при загрузке файла","","Fri Jan 10 10:00:39 GMT 2025","broken","Fri Jan 10 10:01:13 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","17444","Проверка корректного заполнения данных формы","","Fri Jan 10 10:01:13 GMT 2025","passed","Fri Jan 10 10:01:31 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","10807","Проверка на правильную роботу фильтра","","Fri Jan 10 10:02:33 GMT 2025","passed","Fri Jan 10 10:02:44 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","30507","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 10:02:03 GMT 2025","broken","Fri Jan 10 10:02:33 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","230","Проверка на отображение ожидаемых элементов","","Fri Jan 10 10:00:41 GMT 2025","broken","Fri Jan 10 10:00:41 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","32223","Проверка текста ошибок в заполнении формы","","Fri Jan 10 10:01:31 GMT 2025","passed","Fri Jan 10 10:02:03 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","4586","Проверка на заполнение формы с ошибками","","Fri Jan 10 10:00:36 GMT 2025","broken","Fri Jan 10 10:00:40 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
