"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","6875","Проверка текста ошибок в заполнении формы","","Fri Jan 10 11:46:50 GMT 2025","failed","Fri Jan 10 11:46:56 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","10906","Проверка на ошибку при загрузке файла","","Fri Jan 10 11:46:32 GMT 2025","failed","Fri Jan 10 11:46:43 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","7005","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 11:46:56 GMT 2025","failed","Fri Jan 10 11:47:03 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","7013","Проверка корректного заполнения данных формы","","Fri Jan 10 11:46:43 GMT 2025","failed","Fri Jan 10 11:46:50 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","6813","Проверка на правильную роботу фильтра","","Fri Jan 10 11:47:03 GMT 2025","failed","Fri Jan 10 11:47:10 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","22494","Проверка на заполнение формы с ошибками","","Fri Jan 10 11:45:54 GMT 2025","passed","Fri Jan 10 11:46:16 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","15249","Проверка на отображение ожидаемых элементов","","Fri Jan 10 11:46:16 GMT 2025","passed","Fri Jan 10 11:46:32 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
