"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","6714","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 10:38:43 GMT 2025","failed","Fri Jan 10 10:38:49 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","6594","Проверка на правильную роботу фильтра","","Fri Jan 10 10:38:49 GMT 2025","failed","Fri Jan 10 10:38:56 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","6410","Проверка корректного заполнения данных формы","","Fri Jan 10 10:38:30 GMT 2025","failed","Fri Jan 10 10:38:36 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","6590","Проверка текста ошибок в заполнении формы","","Fri Jan 10 10:38:36 GMT 2025","failed","Fri Jan 10 10:38:43 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","10928","Проверка на заполнение формы с ошибками","","Fri Jan 10 10:37:51 GMT 2025","broken","Fri Jan 10 10:38:02 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","25263","Проверка на ошибку при загрузке файла","","Fri Jan 10 10:38:04 GMT 2025","failed","Fri Jan 10 10:38:30 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","1186","Проверка на отображение ожидаемых элементов","","Fri Jan 10 10:38:02 GMT 2025","broken","Fri Jan 10 10:38:03 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
