"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","3129","Проверка на ошибку при загрузке файла","","Sun Jan 12 16:47:30 GMT 2025","broken","Sun Jan 12 16:47:33 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","31766","Проверка на заполнение формы с ошибками","","Sun Jan 12 16:47:33 GMT 2025","broken","Sun Jan 12 16:48:04 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","379","Проверка текста ошибок в заполнении формы","","Sun Jan 12 16:47:34 GMT 2025","broken","Sun Jan 12 16:47:34 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","16820","Проверка на отображение ожидаемых элементов","","Sun Jan 12 16:48:04 GMT 2025","passed","Sun Jan 12 16:48:21 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","208","Проверка на правильную роботу фильтра","","Sun Jan 12 16:47:34 GMT 2025","broken","Sun Jan 12 16:47:35 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","237","Проверка соответсвтия данных формы и модального окна","","Sun Jan 12 16:47:34 GMT 2025","broken","Sun Jan 12 16:47:34 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","279","Проверка корректного заполнения данных формы","","Sun Jan 12 16:47:33 GMT 2025","broken","Sun Jan 12 16:47:34 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
