"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","24054","Проверка на ошибку при загрузке файла","","Fri Jan 10 12:08:16 GMT 2025","passed","Fri Jan 10 12:08:40 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","5992","Проверка на правильную роботу фильтра","","Fri Jan 10 12:09:07 GMT 2025","passed","Fri Jan 10 12:09:13 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","7245","Проверка текста ошибок в заполнении формы","","Fri Jan 10 12:08:52 GMT 2025","passed","Fri Jan 10 12:08:59 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","8131","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 12:08:59 GMT 2025","failed","Fri Jan 10 12:09:07 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","11447","Проверка корректного заполнения данных формы","","Fri Jan 10 12:08:40 GMT 2025","passed","Fri Jan 10 12:08:52 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
