"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","6330","Проверка корректного заполнения данных формы","","Fri Jan 10 10:08:51 GMT 2025","failed","Fri Jan 10 10:08:57 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","6395","Проверка на правильную роботу фильтра","","Fri Jan 10 10:09:10 GMT 2025","failed","Fri Jan 10 10:09:17 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","6429","Проверка текста ошибок в заполнении формы","","Fri Jan 10 10:08:57 GMT 2025","failed","Fri Jan 10 10:09:04 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","10843","Проверка на ошибку при загрузке файла","","Fri Jan 10 10:08:40 GMT 2025","failed","Fri Jan 10 10:08:51 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","8778","Проверка на отображение ожидаемых элементов","","Fri Jan 10 10:08:30 GMT 2025","passed","Fri Jan 10 10:08:39 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","20036","Проверка на заполнение формы с ошибками","","Fri Jan 10 10:08:10 GMT 2025","passed","Fri Jan 10 10:08:30 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","6407","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 10:09:04 GMT 2025","failed","Fri Jan 10 10:09:10 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
