"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","3163","Проверка на ошибку при загрузке файла","","Thu Jan 09 19:52:44 GMT 2025","broken","Thu Jan 09 19:52:47 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","26306","Проверка на заполнение формы с ошибками","","Thu Jan 09 19:52:44 GMT 2025","passed","Thu Jan 09 19:53:10 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","5073","Проверка на отображение ожидаемых элементов","","Thu Jan 09 19:53:11 GMT 2025","passed","Thu Jan 09 19:53:16 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","223","Проверка текста ошибок в заполнении формы","","Thu Jan 09 19:52:48 GMT 2025","broken","Thu Jan 09 19:52:48 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","231","Проверка соответсвтия данных формы и модального окна","","Thu Jan 09 19:52:48 GMT 2025","broken","Thu Jan 09 19:52:48 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","219","Проверка на правильную роботу фильтра","","Thu Jan 09 19:52:48 GMT 2025","broken","Thu Jan 09 19:52:48 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","239","Проверка корректного заполнения данных формы","","Thu Jan 09 19:52:47 GMT 2025","broken","Thu Jan 09 19:52:48 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
