"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","9230","Проверка корректного заполнения данных формы","","Fri Jan 10 11:04:00 GMT 2025","failed","Fri Jan 10 11:04:09 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","10986","Проверка на отображение ожидаемых элементов","","Fri Jan 10 11:03:38 GMT 2025","passed","Fri Jan 10 11:03:49 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","7113","Проверка на правильную роботу фильтра","","Fri Jan 10 11:04:24 GMT 2025","failed","Fri Jan 10 11:04:31 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","6871","Проверка текста ошибок в заполнении формы","","Fri Jan 10 11:04:09 GMT 2025","failed","Fri Jan 10 11:04:16 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","11111","Проверка на ошибку при загрузке файла","","Fri Jan 10 11:03:49 GMT 2025","failed","Fri Jan 10 11:04:00 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","37480","Проверка на заполнение формы с ошибками","","Fri Jan 10 11:03:00 GMT 2025","passed","Fri Jan 10 11:03:38 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","7594","Проверка соответсвтия данных формы и модального окна","","Fri Jan 10 11:04:16 GMT 2025","failed","Fri Jan 10 11:04:24 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
