"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка на наличие только дебетовых карт в списке при переходе на вкладку 'дебетовые","9105","Проверка на отображение ожидаемых элементов","","Sat Jan 11 17:48:02 GMT 2025","passed","Sat Jan 11 17:48:11 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkListCardHeaders"
"Проверка на соотвествие данных при заполнении ипотечного калькулятора и данных на графике платежей","216","Проверка соответсвтия данных формы и модального окна","","Sat Jan 11 17:47:39 GMT 2025","broken","Sat Jan 11 17:47:40 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInfoFromCredit"
"Проверка текстовых сообщений с указанием ошибок в заполнении формы на кредитную карту МТС деньги","224","Проверка текста ошибок в заполнении формы","","Sat Jan 11 17:47:39 GMT 2025","broken","Sat Jan 11 17:47:39 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardError"
"Проверка на налииче пандуса у элементов списка 'Офисы и банкоматы' при выборе фильтра 'Оборудован пандусом'","210","Проверка на правильную роботу фильтра","","Sat Jan 11 17:47:40 GMT 2025","broken","Sat Jan 11 17:47:40 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkValuesOffice"
"Проверка на заполнение полей формы дебетовой карты МТС деньги с ошибками и проверка сообщений об ошибках","25454","Проверка на заполнение формы с ошибками","","Sat Jan 11 17:47:36 GMT 2025","passed","Sat Jan 11 17:48:02 GMT 2025","","mobile.MobileWebTest","mobile.MobileWebTest","checkErrorForm"
"Проверка корректного заполнения формы на кредитную карту МТС деньги","250","Проверка корректного заполнения данных формы","","Sat Jan 11 17:47:39 GMT 2025","broken","Sat Jan 11 17:47:39 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkInteringTheFormCardTrue"
"Проверка на ожидание ошибки при загрузки файла неверного формата в форме оформления экспресс-кредита","6420","Проверка на ошибку при загрузке файла","","Sat Jan 11 17:47:32 GMT 2025","broken","Sat Jan 11 17:47:39 GMT 2025","","desktop.WebSiteTest","desktop.WebSiteTest","checkErrorFile"
